time,vertex,state,state_id,buffer_occupation,production_step
1,0,working,2,0.0,0
1,7,working,2,0.0,0
1,10,working,2,0.0,0
1,11,working,2,0.0,0
1,1,working,2,0.0,1
1,4,working,2,0.0,1
1,5,working,2,0.0,1
1,12,starved,0,0.0,1
1,2,working,2,0.0,2
1,8,working,2,0.0,2
1,9,working,2,0.0,2
1,13,blocked,1,0.0,2
1,14,blocked,1,0.0,2
1,3,working,2,0.0,3
1,6,working,2,0.0,3
2,0,working,2,0.0,0
2,7,working,2,0.0,0
2,10,working,2,0.0,0
2,11,working,2,0.0,0
2,1,working,2,0.0,1
2,4,working,2,0.0,1
2,5,working,2,0.0,1
2,12,working,2,0.0,1
2,2,working,2,0.0,2
2,8,working,2,0.0,2
2,9,blocked,1,0.0,2
2,13,blocked,1,0.0,2
2,14,blocked,1,0.0,2
2,3,working,2,0.0,3
2,6,working,2,0.0,3
3,0,working,2,0.0,0
3,7,working,2,0.0,0
3,10,working,2,0.0,0
3,11,working,2,0.0,0
3,1,working,2,0.0,1
3,4,working,2,0.0,1
3,5,blocked,1,0.0,1
3,12,blocked,1,0.0,1
3,2,working,2,0.0,2
3,8,working,2,0.0,2
3,9,blocked,1,0.0,2
3,13,blocked,1,0.0,2
3,14,blocked,1,0.0,2
3,3,working,2,0.0,3
3,6,working,2,0.0,3
4,0,working,2,0.0,0
4,7,working,2,0.0,0
4,10,blocked,1,0.0,0
4,11,blocked,1,0.0,0
4,1,working,2,0.0,1
4,4,working,2,0.0,1
4,5,blocked,1,0.0,1
4,12,blocked,1,0.0,1
4,2,working,2,0.0,2
4,8,working,2,0.0,2
4,9,blocked,1,0.0,2
4,13,blocked,1,0.0,2
4,14,blocked,1,0.0,2
4,3,working,2,0.0,3
4,6,working,2,0.0,3
5,0,working,2,0.0,0
5,7,working,2,0.0,0
5,10,blocked,1,0.0,0
5,11,blocked,1,0.0,0
5,1,working,2,0.0,1
5,4,working,2,0.0,1
5,5,blocked,1,0.0,1
5,12,blocked,1,0.0,1
5,2,working,2,0.0,2
5,8,working,2,0.0,2
5,9,blocked,1,0.0,2
5,13,blocked,1,0.0,2
5,14,blocked,1,0.0,2
5,3,working,2,0.0,3
5,6,working,2,0.0,3
6,0,working,2,0.0,0
6,7,working,2,0.0,0
6,10,blocked,1,0.0,0
6,11,blocked,1,0.0,0
6,1,working,2,0.0,1
6,4,working,2,0.0,1
6,5,blocked,1,0.0,1
6,12,blocked,1,0.0,1
6,2,working,2,0.0,2
6,8,blocked,1,0.0,2
6,9,blocked,1,0.0,2
6,13,blocked,1,0.0,2
6,14,blocked,1,0.0,2
6,3,working,2,0.0,3
6,6,working,2,0.0,3
7,0,working,2,0.0,0
7,7,working,2,0.0,0
7,10,blocked,1,0.0,0
7,11,blocked,1,0.0,0
7,1,working,2,0.0,1
7,4,blocked,1,0.0,1
7,5,blocked,1,0.0,1
7,12,blocked,1,0.0,1
7,2,working,2,0.0,2
7,8,working,2,0.0,2
7,9,blocked,1,0.0,2
7,13,blocked,1,0.0,2
7,14,blocked,1,0.0,2
7,3,working,2,0.0,3
7,6,working,2,0.0,3
8,0,working,2,0.0,0
8,7,working,2,0.0,0
8,10,blocked,1,0.0,0
8,11,blocked,1,0.0,0
8,1,working,2,0.0,1
8,4,working,2,0.0,1
8,5,working,2,0.0,1
8,12,blocked,1,0.0,1
8,2,working,2,0.0,2
8,8,working,2,0.0,2
8,9,blocked,1,0.0,2
8,13,blocked,1,0.0,2
8,14,blocked,1,0.0,2
8,3,working,2,0.0,3
8,6,working,2,0.0,3
9,0,working,2,0.0,0
9,7,working,2,0.0,0
9,10,blocked,1,0.0,0
9,11,blocked,1,0.0,0
9,1,working,2,0.0,1
9,4,working,2,0.0,1
9,5,blocked,1,0.0,1
9,12,blocked,1,0.0,1
9,2,working,2,0.0,2
9,8,working,2,0.0,2
9,9,blocked,1,0.0,2
9,13,blocked,1,0.0,2
9,14,blocked,1,0.0,2
9,3,working,2,0.0,3
9,6,working,2,0.0,3
10,0,working,2,0.0,0
10,7,working,2,0.0,0
10,10,blocked,1,0.0,0
10,11,blocked,1,0.0,0
10,1,working,2,0.0,1
10,4,working,2,0.0,1
10,5,working,2,0.0,1
10,12,blocked,1,0.0,1
10,2,working,2,0.0,2
10,8,working,2,0.0,2
10,9,blocked,1,0.0,2
10,13,blocked,1,0.0,2
10,14,blocked,1,0.0,2
10,3,working,2,0.0,3
10,6,working,2,0.0,3
11,0,working,2,0.0,0
11,7,working,2,0.0,0
11,10,blocked,1,0.0,0
11,11,blocked,1,0.0,0
11,1,working,2,0.0,1
11,4,blocked,1,0.0,1
11,5,blocked,1,0.0,1
11,12,blocked,1,0.0,1
11,2,working,2,0.0,2
11,8,working,2,0.0,2
11,9,blocked,1,0.0,2
11,13,blocked,1,0.0,2
11,14,blocked,1,0.0,2
11,3,working,2,0.0,3
11,6,working,2,0.0,3
12,0,working,2,0.0,0
12,7,working,2,0.0,0
12,10,blocked,1,0.0,0
12,11,blocked,1,0.0,0
12,1,working,2,0.0,1
12,4,blocked,1,0.0,1
